run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;14.10.2025;30;15;SUD;G;ppm_1;661;
1;14.10.2025;30;15;SUD;G;ppm_2;696;
1;14.10.2025;30;15;SUD;G;ppm_3;726;
1;14.10.2025;30;15;SUD;G;ppm_4;753;
1;14.10.2025;30;15;SUD;G;ppm_5;780;
1;14.10.2025;30;15;SUD;G;ppm_6;802;
1;14.10.2025;30;11;BUD;H;ppm _room;630;
1;14.10.2025;30;11;BUD;H;ppm_0;639;
1;14.10.2025;30;11;BUD;H;ppm_1;653;
1;14.10.2025;30;11;BUD;H;ppm_2;667;
1;14.10.2025;30;11;BUD;H;ppm_3;681;
1;14.10.2025;30;11;BUD;H;ppm_4;694;
1;14.10.2025;30;11;BUD;H;ppm_5;705;
1;14.10.2025;30;11;BUD;H;ppm_6;719;
1;14.10.2025;36;14;SCW;A;ppm _room;699;
1;14.10.2025;36;14;SCW;A;ppm_0;700;
1;14.10.2025;36;14;SCW;A;ppm_1;737;
1;14.10.2025;36;14;SCW;A;ppm_2;765;
1;14.10.2025;36;14;SCW;A;ppm_3;788;
1;14.10.2025;36;14;SCW;A;ppm_4;812;
1;14.10.2025;36;14;SCW;A;ppm_5;834;
1;14.10.2025;36;14;SCW;A;ppm_6;857;
1;14.10.2025;36;9;BUW;B;ppm _room;675;
1;14.10.2025;36;9;BUW;B;ppm_0;672;
1;14.10.2025;36;9;BUW;B;ppm_1;694;
1;14.10.2025;36;9;BUW;B;ppm_2;711;
1;14.10.2025;36;9;BUW;B;ppm_3;726;
1;14.10.2025;36;9;BUW;B;ppm_4;741;
1;14.10.2025;36;9;BUW;B;ppm_5;753;
1;14.10.2025;36;9;BUW;B;ppm_6;767;
1;14.10.2025;36;10;BCW;C;ppm _room;649;
1;14.10.2025;36;10;BCW;C;ppm_0;650;
1;14.10.2025;36;10;BCW;C;ppm_1;666;
1;14.10.2025;36;10;BCW;C;ppm_2;682;
1;14.10.2025;36;10;BCW;C;ppm_3;696;
1;14.10.2025;36;10;BCW;C;ppm_4;709;
1;14.10.2025;36;10;BCW;C;ppm_5;722;
1;14.10.2025;36;10;BCW;C;ppm_6;734;
1;14.10.2025;36;12;BCD;D;ppm _room;633;
1;14.10.2025;36;12;BCD;D;ppm_0;631;
1;14.10.2025;36;12;BCD;D;ppm_1;643;
1;14.10.2025;36;12;BCD;D;ppm_2;650;
1;14.10.2025;36;12;BCD;D;ppm_3;657;
1;14.10.2025;36;12;BCD;D;ppm_4;664;
1;14.10.2025;36;12;BCD;D;ppm_5;671;
1;14.10.2025;36;12;BCD;D;ppm_6;677;
1;14.10.2025;36;13;SUW;E;ppm _room;620;
1;14.10.2025;36;13;SUW;E;ppm_0;618;
1;14.10.2025;36;13;SUW;E;ppm_1;680;
1;14.10.2025;36;13;SUW;E;ppm_2;727;
1;14.10.2025;36;13;SUW;E;ppm_3;769;
1;14.10.2025;36;13;SUW;E;ppm_4;807;
1;14.10.2025;36;13;SUW;E;ppm_5;842;
1;14.10.2025;36;13;SUW;E;ppm_6;875;
1;14.10.2025;36;16;SCD;F;ppm _room;637;
1;14.10.2025;36;16;SCD;F;ppm_0;638;
1;14.10.2025;36;16;SCD;F;ppm_1;668;
1;14.10.2025;36;16;SCD;F;ppm_2;714;
1;14.10.2025;36;16;SCD;F;ppm_3;744;
1;14.10.2025;36;16;SCD;F;ppm_4;770;
1;14.10.2025;36;16;SCD;F;ppm_5;795;
1;14.10.2025;36;16;SCD;F;ppm_6;820;
1;14.10.2025;36;15;SUD;G;ppm _room;654;
1;14.10.2025;36;15;SUD;G;ppm_0;658;
1;14.10.2025;36;15;SUD;G;ppm_1;693;
1;14.10.2025;36;15;SUD;G;ppm_2;724;
1;14.10.2025;36;15;SUD;G;ppm_3;753;
1;14.10.2025;36;15;SUD;G;ppm_4;778;
1;14.10.2025;36;15;SUD;G;ppm_5;803;
1;14.10.2025;36;15;SUD;G;ppm_6;827;
1;14.10.2025;36;11;BUD;H;ppm _room;661;
1;14.10.2025;36;11;BUD;H;ppm_0;653;
1;14.10.2025;36;11;BUD;H;ppm_1;676;
1;14.10.2025;36;11;BUD;H;ppm_2;690;
1;14.10.2025;36;11;BUD;H;ppm_3;703;
1;14.10.2025;36;11;BUD;H;ppm_4;716;
1;14.10.2025;36;11;BUD;H;ppm_5;727;
1;14.10.2025;36;11;BUD;H;ppm_6;739;
1;15.10.2025;48;14;SCW;A;ppm _room;675;
1;15.10.2025;48;14;SCW;A;ppm_0;677;
1;15.10.2025;48;14;SCW;A;ppm_1;731;
1;15.10.2025;48;14;SCW;A;ppm_2;773;
1;15.10.2025;48;14;SCW;A;ppm_3;805;
1;15.10.2025;48;14;SCW;A;ppm_4;834;
1;15.10.2025;48;14;SCW;A;ppm_5;862;
