run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,SUD,bottom,fine,1,D5,41,4.428,,1.388,37.28,26.86,-1.17,-29.49,0.366,-1.17,0.366,0.000,13.9,0.0,-1.7,1.08,-29.49,1.079,-0.001,373,-4.50,-12.07
1,SUW,top,fine,1,D6,43,4.542,,1.148,37.43,32.60,-0.67,-30.27,0.366,-0.67,0.366,0.000,11.5,0.0,0.1,1.08,-30.27,1.078,-0.002,374,-7.73,-20.65
1,SUW,top,coarse,1,D7,44,4.824,,1.161,45.10,38.83,-0.82,-30.07,0.366,-0.82,0.366,0.000,11.6,0.0,-0.5,1.08,-30.07,1.078,-0.002,451,-8.31,-18.42
1,SUW,middle,fine,1,D8,45,4.486,,1.417,43.97,31.04,0.18,-29.40,0.366,0.18,0.366,0.000,14.2,0.0,3.2,1.08,-29.40,1.079,-0.001,440,-4.86,-11.06
1,SUW,middle,coarse,1,D9,46,4.758,,1.232,43.09,34.96,3.73,-28.18,0.366,3.73,0.368,0.002,12.3,0.2,16.1,1.08,-28.18,1.080,0.000,431,1.01,2.35
1,SUW,bottom,fine,1,D10,47,4.172,,1.374,42.14,30.68,0.77,-28.72,0.366,0.77,0.367,0.001,13.7,0.1,5.3,1.08,-28.72,1.080,0.000,421,-1.50,-3.55
1,SUW,bottom,coarse,1,D11,48,4.289,,0.869,42.57,48.99,4.45,-26.97,0.366,4.45,0.368,0.002,8.7,0.2,18.8,1.08,-26.97,1.082,0.002,426,6.70,15.73
2,BCD,middle,fine,1,D12,51,4.285,,1.486,37.80,25.43,96.88,-26.88,0.366,96.88,0.402,0.036,14.9,5.3,355.9,1.08,-26.88,1.082,0.002,378,6.30,16.67
,,,,,,,,PEACH,3.163,53.80,17.01,1.79,-26.02,0.366,1.79,0.367,0.001,31.6,0.3,9.1,1.08,-26.02,1.083,0.003,538,14.07,26.15
2,BCD,middle,coarse,1,E1,52,4.411,,1.372,42.97,31.32,14.78,-26.78,0.366,14.78,0.372,0.006,13.7,0.8,56.5,1.08,-26.78,1.082,0.002,430,7.64,17.78
2,BCD,bottom,fine,1,E2,53,4.385,,1.489,41.42,27.82,72.57,-27.01,0.366,72.57,0.393,0.027,14.9,4.0,267.3,1.08,-27.01,1.082,0.002,414,6.30,15.22
2,BCD,bottom,coarse,1,E3,54,4.327,,0.887,43.78,49.34,4.07,-27.20,0.366,4.07,0.368,0.002,8.9,0.2,17.4,1.08,-27.20,1.081,0.001,438,5.78,13.20
